narrative_name,עימות ולוחמה - כללי,"צבא סדיר, כוחות ולוחמה קונבנציונלית","נשק, טילים וכלי לחימה","תקיפות, סיכולים וחיסולים",טרור ואיום קיומי,דיפלומטיה ויחסים בינלאומיים,"כלכלה, סחר ואנרגיה","דמוקרטיה, בחירות ומשילות",זכויות אדם וצדק חברתי,הומניטרי וסבל אזרחי,"דת, מסורת וזהות","לאומיות, ריבונות וטריטוריה",אנטי-אימפריאליזם וביקורת על המערב,"טכנולוגיה, חדשנות ומדע","תרבות, ספורט וחיי יומיום","תקשורת, תעמולה ודיסאינפורמציה","הגירה, גבולות וביטחון פנים","אקלים, אנרגיה ירוקה וסביבה",זיכרון היסטורי ועבר
Left-wing,10.25,0.75,2.5,4.0,2.0,5.75,24.75,23.0,31.0,17.0,3.0,4.75,0.5,6.0,3.25,9.5,4.75,0.5,4.75
Resistance,21.12,3.68,14.53,16.09,2.91,5.81,10.08,2.91,3.29,8.91,25.78,14.34,4.65,1.36,3.29,5.04,2.71,0.19,4.07
Right-wing,12.46,2.56,3.51,6.71,7.35,7.35,10.86,13.42,5.75,6.39,8.63,7.67,0.32,0.96,4.47,5.43,11.82,0.32,3.83
Russian,9.64,4.19,3.98,3.56,2.73,38.16,11.32,4.19,4.82,9.01,2.31,10.27,2.52,1.26,5.66,4.19,2.31,1.05,7.34
Ukrainian,29.73,22.85,18.21,8.42,2.06,10.82,14.78,2.06,1.89,7.39,2.92,13.57,0.0,2.41,5.5,2.23,1.37,0.17,4.81
Western,28.11,12.7,4.05,3.24,0.81,29.19,28.92,4.59,4.59,4.86,1.35,10.27,0.0,10.81,5.41,5.95,0.0,2.43,2.43
Zionist,16.46,11.66,26.75,14.95,25.65,10.84,5.21,3.7,1.78,16.05,11.39,5.21,1.1,4.94,8.78,1.92,0.96,0.14,5.9
