account,עימות ולוחמה - כללי,"צבא סדיר, כוחות ולוחמה קונבנציונלית","נשק, טילים וכלי לחימה","תקיפות, סיכולים וחיסולים",טרור ואיום קיומי,דיפלומטיה ויחסים בינלאומיים,"כלכלה, סחר ואנרגיה","דמוקרטיה, בחירות ומשילות",זכויות אדם וצדק חברתי,הומניטרי וסבל אזרחי,"דת, מסורת וזהות","לאומיות, ריבונות וטריטוריה",אנטי-אימפריאליזם וביקורת על המערב,"טכנולוגיה, חדשנות ומדע","תרבות, ספורט וחיי יומיום","תקשורת, תעמולה ודיסאינפורמציה","הגירה, גבולות וביטחון פנים","אקלים, אנרגיה ירוקה וסביבה",זיכרון היסטורי ועבר
KremlinRussia_E,5.5,3.0,1.0,0.0,0.5,34.5,10.0,1.5,3.0,3.0,0.5,7.0,0.0,2.0,6.0,2.5,0.0,1.0,2.0
RussiaUN,6.25,3.12,6.25,4.69,4.69,32.81,17.19,7.81,4.69,7.81,0.0,18.75,12.5,0.0,0.0,6.25,6.25,3.12,12.5
mfa_russia,11.5,5.0,5.5,6.0,4.0,45.5,10.5,5.5,7.0,15.5,5.0,11.0,2.0,1.0,7.0,5.5,3.0,0.0,11.5
