narrative_name,מסגור קורבנות וסבל,"גאווה, הישג והרואיות",דה-לגיטימציה של היריב,"איום, אזהרה והפחדה",סולידריות וקריאה לפעולה,"מוסר, אשמה ואחריותיות","תקווה, עתיד ובנייה","לעג, ציניות וסרקזם","אחדות פנימית וזהות ""אנחנו""",עובדתיות ונתונים
Left-wing,3.5,8.5,2.25,5.75,17.5,7.25,3.25,1.5,2.25,8.75
Resistance,2.91,8.91,5.62,5.81,3.68,3.68,3.88,0.19,1.94,8.14
Right-wing,7.03,4.15,8.31,6.39,5.75,5.11,5.11,1.6,1.28,10.22
Russian,3.77,3.14,8.81,7.76,4.82,7.34,7.34,1.05,1.26,2.1
Ukrainian,2.58,11.17,7.56,3.61,23.88,4.12,6.7,0.17,7.56,3.09
Western,1.62,16.49,1.62,10.54,22.43,4.86,14.05,0.0,3.78,2.16
Zionist,7.96,12.76,24.55,12.21,5.62,8.09,5.62,0.55,2.47,8.09
