account,עימות ולוחמה - כללי,"צבא סדיר, כוחות ולוחמה קונבנציונלית","נשק, טילים וכלי לחימה","תקיפות, סיכולים וחיסולים",טרור ואיום קיומי,דיפלומטיה ויחסים בינלאומיים,"כלכלה, סחר ואנרגיה","דמוקרטיה, בחירות ומשילות",זכויות אדם וצדק חברתי,הומניטרי וסבל אזרחי,"דת, מסורת וזהות","לאומיות, ריבונות וטריטוריה",אנטי-אימפריאליזם וביקורת על המערב,"טכנולוגיה, חדשנות ומדע","תרבות, ספורט וחיי יומיום","תקשורת, תעמולה ודיסאינפורמציה","הגירה, גבולות וביטחון פנים","אקלים, אנרגיה ירוקה וסביבה",זיכרון היסטורי ועבר
BernieSanders,10.0,1.0,1.0,3.0,3.0,3.0,35.0,34.0,54.5,19.0,1.0,3.5,0.5,9.5,3.5,5.5,2.0,0.5,3.5
novaramedia,10.5,0.5,4.0,5.0,1.0,8.5,14.5,12.0,7.5,15.0,5.0,6.0,0.5,2.5,3.0,13.5,7.5,0.5,6.0
