account,עימות ולוחמה - כללי,"צבא סדיר, כוחות ולוחמה קונבנציונלית","נשק, טילים וכלי לחימה","תקיפות, סיכולים וחיסולים",טרור ואיום קיומי,דיפלומטיה ויחסים בינלאומיים,"כלכלה, סחר ואנרגיה","דמוקרטיה, בחירות ומשילות",זכויות אדם וצדק חברתי,הומניטרי וסבל אזרחי,"דת, מסורת וזהות","לאומיות, ריבונות וטריטוריה",אנטי-אימפריאליזם וביקורת על המערב,"טכנולוגיה, חדשנות ומדע","תרבות, ספורט וחיי יומיום","תקשורת, תעמולה ודיסאינפורמציה","הגירה, גבולות וביטחון פנים","אקלים, אנרגיה ירוקה וסביבה",זיכרון היסטורי ועבר
PressTV,28.0,3.5,24.0,20.5,4.5,2.5,10.0,2.0,0.5,6.5,18.5,8.0,1.0,0.5,4.0,6.5,0.5,0.0,2.0
QudsNen,20.39,6.8,19.42,34.95,1.94,10.68,11.65,1.94,3.88,20.39,2.91,3.88,0.0,1.94,0.97,3.88,2.91,0.0,0.0
khamenei_ir,15.5,2.5,3.0,2.5,2.0,5.5,8.0,4.5,6.0,5.5,45.0,26.0,11.0,2.0,4.0,4.0,5.0,0.5,8.0
