narrative_name,אורך ממוצע (מילים),האשטגים לפוסט,אזכורי חשבונות לפוסט,קישורים לפוסט,סימני קריאה לפוסט,סימני שאלה לפוסט,מילים בכל האותיות הגדולות (%),צפיפות מספרים (%),"""אנחנו/שלנו"" ל-100 מילים","""הם/שלהם"" ל-100 מילים","""אני"" ל-100 מילים"
Left-wing,35.26,0.0,0.275,0.0,0.025,0.118,0.993,1.47,1.65,0.743,0.746
Resistance,26.758,0.054,0.021,0.0,0.035,0.029,0.643,1.086,1.806,0.686,1.607
Right-wing,30.716,0.013,0.227,0.0,0.022,0.054,6.263,0.906,1.145,0.352,0.854
Russian,27.247,0.771,0.18,0.0,0.023,0.021,1.028,1.998,0.935,0.328,0.648
Ukrainian,31.036,0.081,0.251,0.0,0.11,0.024,0.759,2.335,2.179,0.805,0.493
Western,31.708,0.354,0.419,0.0,0.076,0.019,2.718,0.99,2.94,0.478,0.319
Zionist,31.288,0.036,0.18,0.0,0.106,0.041,2.572,1.749,0.953,0.498,0.169
