narrative_name,עימות ולוחמה - כללי,"צבא סדיר, כוחות ולוחמה קונבנציונלית","נשק, טילים וכלי לחימה","תקיפות, סיכולים וחיסולים",טרור ואיום קיומי,דיפלומטיה ויחסים בינלאומיים,"כלכלה, סחר ואנרגיה","דמוקרטיה, בחירות ומשילות",זכויות אדם וצדק חברתי,הומניטרי וסבל אזרחי,"דת, מסורת וזהות","לאומיות, ריבונות וטריטוריה",אנטי-אימפריאליזם וביקורת על המערב,"טכנולוגיה, חדשנות ומדע","תרבות, ספורט וחיי יומיום","תקשורת, תעמולה ודיסאינפורמציה","הגירה, גבולות וביטחון פנים","אקלים, אנרגיה ירוקה וסביבה",זיכרון היסטורי ועבר
Left-wing,202,31,55,82,54,99,343,151,472,187,76,101,17,48,45,91,140,101,62
Resistance,442,123,350,285,118,193,209,82,114,249,309,258,179,30,50,138,41,3,109
Right-wing,176,44,46,75,103,102,398,229,186,205,156,284,13,70,117,93,183,10,114
Russian,639,361,378,287,97,454,349,109,71,198,80,439,120,85,121,316,40,19,209
Ukrainian,644,345,417,220,34,397,412,124,89,301,60,459,7,78,98,104,60,10,93
Western,392,139,135,115,32,372,468,224,189,120,31,199,26,150,67,125,38,48,69
Zionist,286,152,346,190,423,159,160,78,54,446,302,234,18,118,146,78,60,4,200
