narrative_name,"ביטחון, צבא ולוחמה",טרור ואיום קיומי,דיפלומטיה ויחסים בינלאומיים,"כלכלה, סחר ואנרגיה","דמוקרטיה, בחירות ומשילות",זכויות אדם וצדק חברתי,הומניטרי וסבל אזרחי,"דת, מסורת וזהות","לאומיות, ריבונות וטריטוריה",אנטי-אימפריאליזם וביקורת על המערב,"טכנולוגיה, חדשנות ומדע","תרבות, ספורט וחיי יומיום","תקשורת, תעמולה ודיסאינפורמציה","הגירה, גבולות וביטחון פנים","אקלים, אנרגיה ירוקה וסביבה",זיכרון היסטורי ועבר
Left-wing,272,54,99,343,151,472,187,76,101,17,48,45,91,140,101,62
Resistance,845,118,190,204,82,114,246,306,256,179,30,50,136,41,3,108
Right-wing,274,103,102,398,229,186,205,156,284,13,70,117,93,183,10,114
Russian,870,96,451,347,108,71,197,80,438,120,85,120,315,39,18,209
Ukrainian,1078,34,397,412,124,89,301,60,459,7,78,98,104,60,10,93
Western,486,30,366,461,221,188,118,30,197,26,148,66,125,38,48,66
Zionist,660,420,156,158,77,54,443,299,230,18,117,146,78,60,4,200
