narrative_name,air / people / defense / trump,february / enemy / minister / middle,hezbollah / israel / idf / minister,idf / israel / regime / iranian,iran / president / ukraine / minister,iranian / israel / regime / ukraine,israel / iran / israeli / february,israel / ukraine / air / iran,nato / trump / defence / president,nato / ukraine / russia / defence,russia / war / nato / enemy,ukraine / hezbollah / idf / regime
Left-wing,3.75,4.0,1.25,1.0,8.75,25.25,2.0,1.0,45.0,4.25,2.5,1.25
Resistance,7.01,2.4,1.4,0.0,11.02,54.31,8.62,4.01,4.01,0.4,4.61,2.2
Right-wing,4.47,5.11,1.92,1.6,10.86,36.1,1.28,1.92,30.35,2.88,1.6,1.92
Russian,1.08,15.95,0.65,0.0,29.31,23.71,4.09,0.43,1.94,3.66,3.66,15.52
Ukrainian,5.5,12.89,0.52,0.0,4.12,23.37,2.92,1.37,2.06,5.15,10.14,31.96
Western,0.57,4.0,0.29,0.57,7.71,18.0,0.57,1.14,19.71,21.14,5.14,21.14
Zionist,2.11,2.11,4.92,16.32,3.09,46.69,12.8,3.94,2.67,1.41,2.11,1.83
