narrative_name,אורך ממוצע (מילים),האשטגים לפוסט,אזכורי חשבונות לפוסט,קישורים לפוסט,סימני קריאה לפוסט,סימני שאלה לפוסט,מילים בכל האותיות הגדולות (%),צפיפות מספרים (%),"""אנחנו/שלנו"" ל-100 מילים","""הם/שלהם"" ל-100 מילים","""אני"" ל-100 מילים"
Left-wing,35.26,0.0,0.275,0.0,0.025,0.118,0.993,1.47,1.65,0.743,0.746
Resistance,26.756,0.03,0.022,0.0,0.036,0.03,0.665,1.048,1.803,0.698,1.661
Right-wing,30.716,0.013,0.227,0.0,0.022,0.054,6.263,0.906,1.145,0.352,0.854
Russian,27.032,0.787,0.185,0.0,0.022,0.022,0.919,1.997,0.891,0.332,0.661
Ukrainian,31.036,0.081,0.251,0.0,0.11,0.024,0.759,2.335,2.179,0.805,0.493
Western,31.791,0.351,0.434,0.0,0.077,0.02,2.811,0.987,2.91,0.499,0.331
Zionist,31.174,0.037,0.163,0.0,0.105,0.042,2.542,1.745,0.949,0.481,0.169
